"","Race_id","Driver_id","lap_mean","pitStop_mean","constructor_id","pos"
"2347",960,828,140786.333333333,NA,15,NA
"2348",960,830,144595.363636364,268934.75,9,11
"2349",960,831,146593.88372093,352608.666666667,15,17
"2350",960,832,125072,NA,5,NA
"2351",960,835,145095.977272727,267210.75,4,15
"2352",960,839,146567,351302,209,16
"2353",961,1,87984.1320754717,23633,131,2
"2354",961,3,87699.7924528302,25550,131,1
"2355",961,4,89975.9615384615,24873,1,14
"2356",961,8,88219.8113207547,24197.5,6,4
"2357",961,13,88937.8490566038,23881,3,9
"2358",961,18,89465.8846153846,25422.5,1,12
"2359",961,20,88095.8301886792,25252.5,6,3
"2360",961,154,89455.2884615385,25340,210,11
"2361",961,807,89183.8679245283,24298,10,10
"2362",961,815,88925.3396226415,24285,10,8
"2363",961,817,88554.4150943396,23689,9,5
"2364",961,821,89854.1923076923,25332.5,210,13
"2365",961,822,88662.3396226415,24030,3,6
"2366",961,825,91051.6923076923,24131,4,17
"2367",961,826,91658.25,24773,5,NA
"2368",961,828,90422.4807692308,25145,15,16
"2369",961,830,88723.1132075472,24218.5,9,7
"2370",961,831,255096.166666667,291611.333333333,15,NA
"2371",961,832,90027.3653846154,24821,5,15
"2372",961,835,100509,33275,4,NA
"2373",961,836,90848,25962,209,NA
"2374",961,839,91458.9607843137,25539,209,18
"2375",962,1,114048.983606557,27584.75,131,3
"2376",962,3,113917.213114754,28622,131,1
"2377",962,4,115379.475409836,28143.6666666667,1,7
"2378",962,8,114084.737704918,28001,6,4
"2379",962,13,116120.65,28523,3,12
"2380",962,18,118901.302325581,33612.6666666667,1,NA
"2381",962,20,114371.213114754,27552.3333333333,6,5
"2382",962,815,115737.901639344,30781.5,10,8
"2383",962,817,113925.213114754,28099.5,9,2
"2384",962,821,116096.483333333,28995.3333333333,210,11
"2385",962,822,120694.257142857,38428.5,3,NA
"2386",962,825,115883.639344262,28109.6666666667,4,10
"2387",962,826,115746.016393443,28030,5,9
"2388",962,828,117146.1,28747.25,15,17
"2389",962,830,115084.37704918,28089.25,9,6
"2390",962,831,116437.216666667,28297,15,13
"2391",962,832,116542.6,28629,5,14
"2392",962,835,116892.066666667,27620.6666666667,4,15
"2393",962,836,117138.35,28437,209,16
"2394",962,839,119383.644067797,50427,209,18
"2395",963,1,103314.3,23689,131,NA
"2396",963,3,104433.785714286,23962.3333333333,131,3
"2397",963,4,105321.089285714,24392,1,7
"2398",963,8,104670.732142857,24601.6666666667,6,4
"2399",963,13,106622.927272727,23910.3333333333,3,13
"2400",963,18,105617.714285714,24691.5,1,9
"2401",963,154,111418.142857143,NA,210,NA
"2402",963,807,105479.25,25271,10,8
"2403",963,815,105295.892857143,25485.5,10,6
"2404",963,817,104156.714285714,24302.5,9,1
"2405",963,821,107643.076923077,26867.3333333333,210,NA
"2406",963,822,105256.392857143,23828,3,5
"2407",963,825,113059,30679,4,NA
"2408",963,826,106839.218181818,27156.3333333333,5,14
"2409",963,828,106228.963636364,24989,15,12
"2410",963,830,104200.339285714,25355,9,2
"2411",963,831,107996.869565217,24697,15,NA
"2412",963,832,105922.392857143,24436.5,5,11
"2413",963,835,105861.464285714,23928,4,10
"2414",963,836,107296.4,25725.6666666667,209,15
"2415",963,839,107682.272727273,29353,209,16
"2416",964,1,98285.0754716981,22860.5,131,3
"2417",964,3,98176.0943396226,22911.5,131,1
"2418",964,4,100738.923076923,22909,1,16
"2419",964,8,98711.3773584906,23003,6,5
"2420",964,13,100020.679245283,22463,3,9
"2421",964,18,100822.653846154,23858.5,1,18
"2422",964,20,98558.5283018868,23056.5,6,4
"2423",964,154,100048.811320755,24585,210,11
"2424",964,807,99292.641509434,22892,10,8
"2425",964,815,99260.9056603774,23163,10,7
"2426",964,817,98816.4905660377,24428.5,9,6
"2427",964,821,101051.019230769,23951,210,20
"2428",964,822,100031.245283019,25007,3,10
"2429",964,825,100683.115384615,23072,4,14
"2430",964,826,100497.211538462,22966.5,5,13
"2431",964,828,100697.615384615,24011,15,15
"2432",964,830,98270.0188679245,22821.5,9,2
"2433",964,831,100992,25131,15,19
"2434",964,832,100755.884615385,22962,5,17
"2435",964,835,100380.980769231,23452,4,12
"2436",964,836,101473.923076923,25045.5,209,22
"2437",964,839,101092,24614.5,209,21
"2438",965,1,105225.321428571,23588,131,1
"2439",965,3,105306.035714286,23837.5,131,2
"2440",965,4,106903.053571429,24491.5,1,5
"2441",965,8,106651.289473684,24406,6,NA
"2442",965,13,107256.127272727,23820,3,7
"2443",965,18,107556.672727273,24624,1,9
"2444",965,20,105995.571428571,24133.6666666667,6,4
"2445",965,154,107700.327272727,25289.5,210,10
"2446",965,807,143182,NA,10,NA
"2447",965,815,107521.090909091,23908.5,10,8
"2448",965,817,105576.964285714,23745,9,3
"2449",965,821,110558.9375,24470,210,NA
"2450",965,822,108830.309090909,26160,3,16
"2451",965,825,108056.927272727,24103.6666666667,4,12
"2452",965,826,108135.309090909,37837,5,11
